symbol,sample_label,timeframe,family,side,session,hardening_mode,recent_closed,recent_win_rate,recent_pf,recent_expectancy,recent_max_drawdown,total_closed,total_win_rate,total_pf,total_expectancy,total_max_drawdown,monte_carlo_stressed_pf,monte_carlo_stressed_expectancy,monte_carlo_p95_drawdown,spread_x1_5_pf,spread_x2_pf,remove_best_5_pf,fragile_regime_dependency,single_trade_dependency,candidate,recommendation,rejection_reasons,multi_symbol_score,source_csv
GBPUSD,GBPUSD_M15_20000,M15,recent_volatility_breakout,both,all,mae_guard,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,reject,recent_sample_below_20;total_sample_below_50;recent_pf_below_1_15;total_pf_below_1_15;recent_expectancy_not_positive;total_expectancy_not_positive;monte_carlo_stressed_pf_below_1_05;spread_x1_5_pf_below_1;spread_x2_pf_below_0_95;remove_best_5_pf_below_1;fragile_regime_dependency,-612.0,data\backtests\multisymbol\GBPUSD_M15_20000.csv
GBPUSD,GBPUSD_M15_20000,M15,recent_volatility_breakout,both,all,fast_loss_cut,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,reject,recent_sample_below_20;total_sample_below_50;recent_pf_below_1_15;total_pf_below_1_15;recent_expectancy_not_positive;total_expectancy_not_positive;monte_carlo_stressed_pf_below_1_05;spread_x1_5_pf_below_1;spread_x2_pf_below_0_95;remove_best_5_pf_below_1;fragile_regime_dependency,-612.0,data\backtests\multisymbol\GBPUSD_M15_20000.csv
GBPUSD,GBPUSD_M15_20000,M15,recent_volatility_breakout,both,all,trailing_defensive,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,reject,recent_sample_below_20;total_sample_below_50;recent_pf_below_1_15;total_pf_below_1_15;recent_expectancy_not_positive;total_expectancy_not_positive;monte_carlo_stressed_pf_below_1_05;spread_x1_5_pf_below_1;spread_x2_pf_below_0_95;remove_best_5_pf_below_1;fragile_regime_dependency,-612.0,data\backtests\multisymbol\GBPUSD_M15_20000.csv
GBPUSD,GBPUSD_M15_20000,M15,recent_ema_reclaim,both,all,baseline,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,reject,recent_sample_below_20;total_sample_below_50;recent_pf_below_1_15;total_pf_below_1_15;recent_expectancy_not_positive;total_expectancy_not_positive;monte_carlo_stressed_pf_below_1_05;spread_x1_5_pf_below_1;spread_x2_pf_below_0_95;remove_best_5_pf_below_1;fragile_regime_dependency,-612.0,data\backtests\multisymbol\GBPUSD_M15_20000.csv
GBPUSD,GBPUSD_M15_20000,M15,recent_ema_reclaim,both,all,mae_guard,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,reject,recent_sample_below_20;total_sample_below_50;recent_pf_below_1_15;total_pf_below_1_15;recent_expectancy_not_positive;total_expectancy_not_positive;monte_carlo_stressed_pf_below_1_05;spread_x1_5_pf_below_1;spread_x2_pf_below_0_95;remove_best_5_pf_below_1;fragile_regime_dependency,-612.0,data\backtests\multisymbol\GBPUSD_M15_20000.csv
GBPUSD,GBPUSD_M15_20000,M15,recent_ema_reclaim,both,all,fast_loss_cut,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,reject,recent_sample_below_20;total_sample_below_50;recent_pf_below_1_15;total_pf_below_1_15;recent_expectancy_not_positive;total_expectancy_not_positive;monte_carlo_stressed_pf_below_1_05;spread_x1_5_pf_below_1;spread_x2_pf_below_0_95;remove_best_5_pf_below_1;fragile_regime_dependency,-612.0,data\backtests\multisymbol\GBPUSD_M15_20000.csv
GBPUSD,GBPUSD_M15_20000,M15,recent_ema_reclaim,both,all,trailing_defensive,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,reject,recent_sample_below_20;total_sample_below_50;recent_pf_below_1_15;total_pf_below_1_15;recent_expectancy_not_positive;total_expectancy_not_positive;monte_carlo_stressed_pf_below_1_05;spread_x1_5_pf_below_1;spread_x2_pf_below_0_95;remove_best_5_pf_below_1;fragile_regime_dependency,-612.0,data\backtests\multisymbol\GBPUSD_M15_20000.csv
GBPUSD,GBPUSD_M15_20000,M15,recent_session_open_continuation,both,all,baseline,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,reject,recent_sample_below_20;total_sample_below_50;recent_pf_below_1_15;total_pf_below_1_15;recent_expectancy_not_positive;total_expectancy_not_positive;monte_carlo_stressed_pf_below_1_05;spread_x1_5_pf_below_1;spread_x2_pf_below_0_95;remove_best_5_pf_below_1;fragile_regime_dependency,-612.0,data\backtests\multisymbol\GBPUSD_M15_20000.csv
GBPUSD,GBPUSD_M30_20000,M30,recent_volatility_breakout,both,all,baseline,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,reject,recent_sample_below_20;total_sample_below_50;recent_pf_below_1_15;total_pf_below_1_15;recent_expectancy_not_positive;total_expectancy_not_positive;monte_carlo_stressed_pf_below_1_05;spread_x1_5_pf_below_1;spread_x2_pf_below_0_95;remove_best_5_pf_below_1;fragile_regime_dependency,-612.0,data\backtests\multisymbol\GBPUSD_M30_20000.csv
GBPUSD,GBPUSD_M30_20000,M30,recent_volatility_breakout,both,all,mae_guard,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,reject,recent_sample_below_20;total_sample_below_50;recent_pf_below_1_15;total_pf_below_1_15;recent_expectancy_not_positive;total_expectancy_not_positive;monte_carlo_stressed_pf_below_1_05;spread_x1_5_pf_below_1;spread_x2_pf_below_0_95;remove_best_5_pf_below_1;fragile_regime_dependency,-612.0,data\backtests\multisymbol\GBPUSD_M30_20000.csv
GBPUSD,GBPUSD_M30_20000,M30,recent_volatility_breakout,both,all,fast_loss_cut,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,reject,recent_sample_below_20;total_sample_below_50;recent_pf_below_1_15;total_pf_below_1_15;recent_expectancy_not_positive;total_expectancy_not_positive;monte_carlo_stressed_pf_below_1_05;spread_x1_5_pf_below_1;spread_x2_pf_below_0_95;remove_best_5_pf_below_1;fragile_regime_dependency,-612.0,data\backtests\multisymbol\GBPUSD_M30_20000.csv
GBPUSD,GBPUSD_M30_20000,M30,recent_volatility_breakout,both,all,trailing_defensive,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,reject,recent_sample_below_20;total_sample_below_50;recent_pf_below_1_15;total_pf_below_1_15;recent_expectancy_not_positive;total_expectancy_not_positive;monte_carlo_stressed_pf_below_1_05;spread_x1_5_pf_below_1;spread_x2_pf_below_0_95;remove_best_5_pf_below_1;fragile_regime_dependency,-612.0,data\backtests\multisymbol\GBPUSD_M30_20000.csv
GBPUSD,GBPUSD_H1_20000,H1,recent_volatility_breakout,both,all,baseline,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,reject,recent_sample_below_20;total_sample_below_50;recent_pf_below_1_15;total_pf_below_1_15;recent_expectancy_not_positive;total_expectancy_not_positive;monte_carlo_stressed_pf_below_1_05;spread_x1_5_pf_below_1;spread_x2_pf_below_0_95;remove_best_5_pf_below_1;fragile_regime_dependency,-612.0,data\backtests\multisymbol\GBPUSD_H1_20000.csv
GBPUSD,GBPUSD_H1_20000,H1,recent_volatility_breakout,both,all,mae_guard,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,reject,recent_sample_below_20;total_sample_below_50;recent_pf_below_1_15;total_pf_below_1_15;recent_expectancy_not_positive;total_expectancy_not_positive;monte_carlo_stressed_pf_below_1_05;spread_x1_5_pf_below_1;spread_x2_pf_below_0_95;remove_best_5_pf_below_1;fragile_regime_dependency,-612.0,data\backtests\multisymbol\GBPUSD_H1_20000.csv
GBPUSD,GBPUSD_H1_20000,H1,recent_volatility_breakout,both,all,fast_loss_cut,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,reject,recent_sample_below_20;total_sample_below_50;recent_pf_below_1_15;total_pf_below_1_15;recent_expectancy_not_positive;total_expectancy_not_positive;monte_carlo_stressed_pf_below_1_05;spread_x1_5_pf_below_1;spread_x2_pf_below_0_95;remove_best_5_pf_below_1;fragile_regime_dependency,-612.0,data\backtests\multisymbol\GBPUSD_H1_20000.csv
GBPUSD,GBPUSD_H1_20000,H1,recent_volatility_breakout,both,all,trailing_defensive,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,reject,recent_sample_below_20;total_sample_below_50;recent_pf_below_1_15;total_pf_below_1_15;recent_expectancy_not_positive;total_expectancy_not_positive;monte_carlo_stressed_pf_below_1_05;spread_x1_5_pf_below_1;spread_x2_pf_below_0_95;remove_best_5_pf_below_1;fragile_regime_dependency,-612.0,data\backtests\multisymbol\GBPUSD_H1_20000.csv
BTCUSD,BTCUSD_H1_20000,H1,recent_volatility_breakout,both,all,trailing_defensive,5,20.0,0.247,-0.4669,3061.706429,31,25.81,0.4705,-0.1836,5403.066822,0.1752,-284.372044,9149.304716,0.0,0.0,0.0922,True,False,False,reject,recent_sample_below_20;total_sample_below_50;recent_pf_below_1_15;total_pf_below_1_15;recent_expectancy_not_positive;total_expectancy_not_positive;drawdown_above_5000;monte_carlo_stressed_pf_below_1_05;monte_carlo_stressed_expectancy_negative;monte_carlo_p95_drawdown_above_5000;spread_x1_5_pf_below_1;spread_x2_pf_below_0_95;remove_best_5_pf_below_1;fragile_regime_dependency,-617.8998,data\backtests\multisymbol\BTCUSD_H1_20000.csv
EURUSD,EURUSD_M30_20000,M30,recent_ema_reclaim,both,all,baseline,0,0.0,0.0,0.0,0.0,1,0.0,0.0,-1.0,0.0,0.0,-0.003545,0.003223,0.0,0.0,0.0,True,False,False,reject,recent_sample_below_20;total_sample_below_50;recent_pf_below_1_15;total_pf_below_1_15;recent_expectancy_not_positive;total_expectancy_not_positive;monte_carlo_stressed_pf_below_1_05;monte_carlo_stressed_expectancy_negative;spread_x1_5_pf_below_1;spread_x2_pf_below_0_95;remove_best_5_pf_below_1;fragile_regime_dependency,-619.2,data\backtests\multisymbol\EURUSD_M30_20000.csv
EURUSD,EURUSD_M30_20000,M30,recent_ema_reclaim,both,all,mae_guard,0,0.0,0.0,0.0,0.0,1,0.0,0.0,-1.0,0.0,0.0,-0.003545,0.003223,0.0,0.0,0.0,True,False,False,reject,recent_sample_below_20;total_sample_below_50;recent_pf_below_1_15;total_pf_below_1_15;recent_expectancy_not_positive;total_expectancy_not_positive;monte_carlo_stressed_pf_below_1_05;monte_carlo_stressed_expectancy_negative;spread_x1_5_pf_below_1;spread_x2_pf_below_0_95;remove_best_5_pf_below_1;fragile_regime_dependency,-619.2,data\backtests\multisymbol\EURUSD_M30_20000.csv
EURUSD,EURUSD_M30_20000,M30,recent_ema_reclaim,both,all,fast_loss_cut,0,0.0,0.0,0.0,0.0,1,0.0,0.0,-1.0,0.0,0.0,-0.003545,0.003223,0.0,0.0,0.0,True,False,False,reject,recent_sample_below_20;total_sample_below_50;recent_pf_below_1_15;total_pf_below_1_15;recent_expectancy_not_positive;total_expectancy_not_positive;monte_carlo_stressed_pf_below_1_05;monte_carlo_stressed_expectancy_negative;spread_x1_5_pf_below_1;spread_x2_pf_below_0_95;remove_best_5_pf_below_1;fragile_regime_dependency,-619.2,data\backtests\multisymbol\EURUSD_M30_20000.csv
EURUSD,EURUSD_M30_20000,M30,recent_ema_reclaim,both,all,trailing_defensive,0,0.0,0.0,0.0,0.0,1,0.0,0.0,-1.0,0.0,0.0,-0.003545,0.003223,0.0,0.0,0.0,True,False,False,reject,recent_sample_below_20;total_sample_below_50;recent_pf_below_1_15;total_pf_below_1_15;recent_expectancy_not_positive;total_expectancy_not_positive;monte_carlo_stressed_pf_below_1_05;monte_carlo_stressed_expectancy_negative;spread_x1_5_pf_below_1;spread_x2_pf_below_0_95;remove_best_5_pf_below_1;fragile_regime_dependency,-619.2,data\backtests\multisymbol\EURUSD_M30_20000.csv
GBPUSD,GBPUSD_M15_20000,M15,recent_momentum_pullback,both,all,baseline,0,0.0,0.0,0.0,0.0,1,0.0,0.0,-1.0,0.0,0.0,-0.004426,0.004024,0.0,0.0,0.0,True,False,False,reject,recent_sample_below_20;total_sample_below_50;recent_pf_below_1_15;total_pf_below_1_15;recent_expectancy_not_positive;total_expectancy_not_positive;monte_carlo_stressed_pf_below_1_05;monte_carlo_stressed_expectancy_negative;spread_x1_5_pf_below_1;spread_x2_pf_below_0_95;remove_best_5_pf_below_1;fragile_regime_dependency,-619.2,data\backtests\multisymbol\GBPUSD_M15_20000.csv
GBPUSD,GBPUSD_M15_20000,M15,recent_momentum_pullback,both,all,mae_guard,0,0.0,0.0,0.0,0.0,1,0.0,0.0,-1.0,0.0,0.0,-0.004426,0.004024,0.0,0.0,0.0,True,False,False,reject,recent_sample_below_20;total_sample_below_50;recent_pf_below_1_15;total_pf_below_1_15;recent_expectancy_not_positive;total_expectancy_not_positive;monte_carlo_stressed_pf_below_1_05;monte_carlo_stressed_expectancy_negative;spread_x1_5_pf_below_1;spread_x2_pf_below_0_95;remove_best_5_pf_below_1;fragile_regime_dependency,-619.2,data\backtests\multisymbol\GBPUSD_M15_20000.csv
GBPUSD,GBPUSD_M15_20000,M15,recent_momentum_pullback,both,all,fast_loss_cut,0,0.0,0.0,0.0,0.0,1,0.0,0.0,-1.0,0.0,0.0,-0.004426,0.004024,0.0,0.0,0.0,True,False,False,reject,recent_sample_below_20;total_sample_below_50;recent_pf_below_1_15;total_pf_below_1_15;recent_expectancy_not_positive;total_expectancy_not_positive;monte_carlo_stressed_pf_below_1_05;monte_carlo_stressed_expectancy_negative;spread_x1_5_pf_below_1;spread_x2_pf_below_0_95;remove_best_5_pf_below_1;fragile_regime_dependency,-619.2,data\backtests\multisymbol\GBPUSD_M15_20000.csv
GBPUSD,GBPUSD_M15_20000,M15,recent_momentum_pullback,both,all,trailing_defensive,0,0.0,0.0,0.0,0.0,1,0.0,0.0,-1.0,0.0,0.0,-0.004426,0.004024,0.0,0.0,0.0,True,False,False,reject,recent_sample_below_20;total_sample_below_50;recent_pf_below_1_15;total_pf_below_1_15;recent_expectancy_not_positive;total_expectancy_not_positive;monte_carlo_stressed_pf_below_1_05;monte_carlo_stressed_expectancy_negative;spread_x1_5_pf_below_1;spread_x2_pf_below_0_95;remove_best_5_pf_below_1;fragile_regime_dependency,-619.2,data\backtests\multisymbol\GBPUSD_M15_20000.csv
